cluster,term,root.lemma_,label_,term_count,term_source_freq
2,school,school,NNS,9,0.38095238095238093
2,thousand,thousand,NNS,5,0.23809523809523808
2,£ 12bn test and trace system,system,NN,1,0.047619047619047616
2,the drilldown,drilldown,NNP,1,0.047619047619047616
2,coldwater indian band,band,NNP,1,0.047619047619047616
2,cer change,change,NNS,1,0.047619047619047616
2,trans mountain hearing,hearing,NNS,1,0.047619047619047616
2,mamo mcdonald,mcdonald,NNP,1,0.047619047619047616
2,woman ’s right campaigner,campaigner,NN,1,0.047619047619047616
2,former ica chair,chair,NN,1,0.047619047619047616
2,italy,italy,NNP,3,0.09523809523809523
2,movement,movement,NN,1,0.047619047619047616
2,its northern region,region,NN,1,0.047619047619047616
2,the city,city,NN,1,0.047619047619047616
2,milan,milan,NNP,1,0.047619047619047616
2,gwyneth paltrow,paltrow,NNP,1,0.047619047619047616
2,star,star,NN,1,0.047619047619047616
2,""" contagion",contagion,NN,1,0.047619047619047616
2,photo,photo,NN,2,0.09523809523809523
2,a face mask,mask,NN,1,0.047619047619047616
2,a plane,plane,NN,1,0.047619047619047616
2,this movie,movie,NN,1,0.047619047619047616
2,hawaii,hawaii,NNP,2,0.09523809523809523
2,a rare covid success story,story,NNP,1,0.047619047619047616
2,kansas,kansas,NNP,3,0.09523809523809523
2,shot,shot,NNS,2,0.047619047619047616
2,inmate,inmate,NNS,1,0.047619047619047616
2,gop protest,protest,NN,1,0.047619047619047616
2,a bathtub,bathtub,NN,1,0.047619047619047616
2,alabama,alabama,NNP,1,0.047619047619047616
2,the virus,virus,NNP,1,0.047619047619047616
2,nation 's stormy politics,politics,NNP,1,0.047619047619047616
2,california recall,recall,NNP,1,0.047619047619047616
2,indigenous group strike,strike,NNS,1,0.047619047619047616
2,blockade,blockade,NNS,1,0.047619047619047616
2,manitoba hydro site,site,NN,1,0.047619047619047616
2,the lead cause,cause,NN,1,0.047619047619047616
2,death,death,NN,4,0.14285714285714285
2,la,la,NNP,1,0.047619047619047616
2,to file,file,NNP,1,0.047619047619047616
2,charges,charges,NNP,1,0.047619047619047616
2,recent house party,party,NNS,1,0.047619047619047616
2,tuscany,tuscany,NNP,1,0.047619047619047616
2,russian gp,gp,NNP,1,0.047619047619047616
2,fan,fan,NNS,1,0.047619047619047616
2,dispatch,dispatch,NNS,1,0.047619047619047616
2,a california prison,prison,NNP,1,0.047619047619047616
2,the climate and coronavirus crises,crises,NNPS,1,0.047619047619047616
2,lebanon ’s savior,savior,NNP,1,0.047619047619047616
2,wuhan,wuhan,NNP,2,0.047619047619047616
2,covid 's origin,origin,NN,1,0.047619047619047616
2,this sexy experience,experience,NNP,1,0.047619047619047616
2,americans,americans,NNPS,8,0.23809523809523808
2,covid relief,relief,NNP,2,0.09523809523809523
2,filibuster,filibuster,NNP,1,0.047619047619047616
2,procedural concern,concern,NNS,1,0.047619047619047616
2,mypillow ceo,ceo,NNP,1,0.047619047619047616
2,the bible,bible,NNP,1,0.047619047619047616
2,appearance,appearance,NN,1,0.047619047619047616
2,white house coronavirus briefing,briefing,NN,1,0.047619047619047616
2,iran,iran,NNP,2,0.09523809523809523
2,inspections,inspections,NNP,1,0.047619047619047616
2,threat,threat,NN,2,0.09523809523809523
2,front - line work,work,NN,1,0.047619047619047616
2,pandemic falls,falls,NNP,1,0.047619047619047616
2,women,women,NNPS,1,0.047619047619047616
2,south dakota 's leader,leader,NNS,1,0.047619047619047616
2,trump 's coronavirus response,response,NN,1,0.047619047619047616
2,some help,help,NN,1,0.047619047619047616
2,my former boss,boss,NN,1,0.047619047619047616
2,republicans,republicans,NNPS,5,0.14285714285714285
2,ashanti,ashanti,NNP,1,0.047619047619047616
2,arrest,arrest,NN,1,0.047619047619047616
2,break,break,NN,1,0.047619047619047616
2,walsall leather museum,museum,NNP,1,0.047619047619047616
2,antony blinken,blinken,NNP,1,0.047619047619047616
2,first foreign trip,trip,NN,1,0.047619047619047616
2,japan,japan,NNP,6,0.23809523809523808
2,use,use,NN,1,0.047619047619047616
2,2 ice jail,jail,NNS,1,0.047619047619047616
2,bid,bid,NN,3,0.09523809523809523
2,condition,condition,NNS,2,0.09523809523809523
2,genus plc,plc,NNP,1,0.047619047619047616
2,a sustainable food system,system,NN,1,0.047619047619047616
2,people ’s behaviour,behaviour,NN,1,0.047619047619047616
2,any medicine,medicine,NN,1,0.047619047619047616
2,archbishop,archbishop,NNP,1,0.047619047619047616
2,zion williamson,williamson,NNP,1,0.047619047619047616
2,salary,salary,NNS,1,0.047619047619047616
2,smoothie king center employee,employee,NNS,1,0.047619047619047616
2,hail,hail,NN,1,0.047619047619047616
2,gale - force wind,wind,NNS,1,0.047619047619047616
2,unsettled weather,weather,NN,1,0.047619047619047616
2,the hidden cost,cost,NN,1,0.047619047619047616
2,college,college,NN,3,0.047619047619047616
2,the coronavirus pandemic,pandemic,NN,2,0.047619047619047616
2,thank,thank,NNS,1,0.047619047619047616
2,delivery driver,driver,NNS,1,0.047619047619047616
2,snack,snack,NNS,1,0.047619047619047616
2,the taking,taking,NN,1,0.047619047619047616
2,"the obligatory "" new york guy",guy,NN,1,0.047619047619047616
2,"federal relief program "" clip",clip,NN,1,0.047619047619047616
2,unemployment,unemployment,NNP,3,0.14285714285714285
2,14.7 percent,percent,NN,1,0.047619047619047616
2,great depression,depression,NN,1,0.047619047619047616
2,southwest add,add,NNP,1,0.047619047619047616
2,parade,parade,NNP,2,0.047619047619047616
2,airline loss,loss,NNS,1,0.047619047619047616
2,3q,3q,NNS,1,0.047619047619047616
