source,factuality_old,pro-science,display_name,country,website,category,labels.bias,labels.factuality,media_type,labels.conspiracy,labels.pseudoscience
investorsbusinessdaily,2.0,0,Investors Business Daily,USA (45/180 Press Freedom),https://www.investors.com/,right,right,2.0,Newspaper,,
iowaclimatescienceeducation,1.0,0,Iowa Climate Science Education,USA,https://iowaclimate.org,conspiracy,,1.0,,3.0,5.0
ipolitics,4.0,0,iPolitics,Canada,https://ipolitics.ca/,leftcenter,leftcenter,4.0,,,
israelislamendtimes,2.0,0,"Israel, Islam and End Times - Media Bias/Fact Check",Australia (25/180 Press Freedom),http://www.israelislamandendtimes.com/,conspiracy,,1.0,Organization/Foundation,4.0,4.0
jesusdaily,1.0,0,Jesus Daily,USA,https://www.jesusdaily.com,conspiracy,,1.0,,1.0,3.0
jesusissavior,1.0,0,Jesus is Savior,USA (44/180 Press Freedom),http://www.jesus-is-savior.com/,conspiracy,,0.0,Website,5.0,5.0
junksciencecom,1.0,0,JunkScience.com - Media Bias/Fact Check,USA,https://junkscience.com,conspiracy,,1.0,,4.0,5.0
kyivpost,2.0,0,Kyiv Post,Ukraine,https://www.kyivpost.com/,leftcenter,leftcenter,2.0,,,
larouchepac,1.0,0,LaRouche PAC,USA,https://larouchepac.com/,conspiracy,,1.0,,4.0,4.0
lawenforcementtoday,2.0,0,Law Enforcement Today,USA (45/180 Press Freedom),https://www.lawenforcementtoday.com/,right,right,2.0,Website,,
learntherisk,0.0,0,LearnTheRisk.org - Media Bias/Fact Check,USA,https://www.learntherisk.org,conspiracy,,0.0,,5.0,5.0
lewrockwell,2.0,0,Lew Rockwell,USA,https://www.lewrockwell.com/,questionable-source,extremeright,2.0,,,
lifespa,1.0,0,LifeSpa,USA,https://lifespa.com/,conspiracy,,1.0,,2.0,5.0
liveaction,2.0,0,Live Action,USA (44/180 Press Freedom),https://liveaction.org/,conspiracy,,2.0,Organization/Foundation,3.0,2.0
livescience,,1,Live Science,USA (45/180 Press Freedom),https://www.livescience.com/,pro-science,,4.0,Website,,
livingwhole,2.0,0,Living Whole,Canada,https://www.livingwhole.org/,conspiracy,,2.0,,1.0,4.0
londoneveningstandard,4.0,0,London Evening Standard,United Kingdom (35/180 Press Freedom),https://www.standard.co.uk/,right-center,rightcenter,3.0,Newspaper,,
mcclatchydc,4.0,0,McClatchyDC,USA,http://www.mcclatchydc.com/,leftcenter,leftcenter,4.0,,,
mediaroots,2.0,0,Media Roots,USA,http://mediaroots.org,conspiracy,,2.0,,3.0,3.0
mercola,1.0,0,Mercola,USA (44/180 Press Freedom),https://www.mercola.com/,conspiracy,,1.0,Website,2.0,5.0
metrouk,2.0,0,Metro UK,United Kingdom (33/180 Press Freedom),http://metro.co.uk/,leftcenter,leftcenter,2.0,Newspaper,,
mintpressnews,2.0,0,Mint Press News,USA,http://www.mintpressnews.com/,leftcenter,leftcenter,2.0,,,
modernalternativemama,2.0,0,Modern Alternative Mama,USA,https://modernalternativemama.com/,conspiracy,,2.0,,1.0,4.0
moscowtimes,4.0,0,Moscow Times,Netherlands,https://themoscowtimes.com/,leftcenter,leftcenter,4.0,,,
motherjones,4.0,0,Mother Jones,USA (45/180 Press Freedom),https://www.motherjones.com/,leftcenter,leftcenter,4.0,Magazine,,
msnbc,2.0,0,MSNBC,USA (45/180 Press Freedom),,left,left,2.0,TV Station,,
nationalfile,1.0,0,National File,USA (44/180 Press Freedom),https://nationalfile.com/,conspiracy,,1.0,Website,5.0,4.0
nationalinterest,4.0,0,National Interest,USA (44/180 Press Freedom),https://nationalinterest.org/,right-center,rightcenter,4.0,Magazine,,
nationalreview,3.0,0,National Review,USA (44/180 Press Freedom),https://www.nationalreview.com,right,right,3.0,Magazine,,
naturalawakeningsmagazine,2.0,0,Natural Awakenings Magazine,USA,https://www.naturalawakeningsmag.com/,conspiracy,,2.0,,1.0,4.0
naturalcures,2.0,0,NaturalCures.com - Media Bias/Fact Check,United Kingdom,https://naturalcures.com/,conspiracy,,2.0,,2.0,5.0
naturalhealth365,2.0,0,Natural Health 365,USA (44/180 Press Freedom),https://www.naturalhealth365.com/,conspiracy,,1.0,Website,2.0,5.0
naturallysavvy,2.0,0,Naturally Savvy,USA,http://naturallysavvy.com,conspiracy,,2.0,,1.0,2.0
naturalnews,0.0,0,Natural News,USA (45/180 Press Freedom),https://www.naturalnews.com/,conspiracy,,0.0,Website,4.0,5.0
naturalsociety,2.0,0,Natural Society,,https://naturalsociety.com,conspiracy,,2.0,,4.0,5.0
needtoknow,1.0,0,Need to Know,USA,https://needtoknow.news,conspiracy,,1.0,,5.0,5.0
newamericannews,2.0,0,New American News,USA (45/180 Press Freedom),http://newamericannews.com/,conspiracy,,1.0,Website,3.0,5.0
newrepublic,4.0,0,New Republic,USA (45/180 Press Freedom),https://newrepublic.com/,left,left,4.0,Magazine,,
newsbud,2.0,0,Newsbud,USA,https://www.newsbud.com/,conspiracy,,2.0,,3.0,2.0
newsbusters,2.0,0,Newsbusters,USA (45/180 Press Freedom),https://www.newsbusters.org/,right,right,2.0,Organization/Foundation,,
newsinsideoutcom,1.0,0,NewsInsideOut.com - Media Bias/Fact Check,USA,https://newsinsideout.com/,conspiracy,,1.0,,5.0,3.0
newsmax,2.0,0,Newsmax Bias and Credibility,USA (44/180 Press Freedom),https://www.newsmax.com/,questionable-source,right,2.0,TV Station,,
newspunch,0.0,0,News Punch,USA (44/180 Press Freedom),https://newspunch.com,questionable-source,extremeright,0.0,Website,,
